d3mIndex,Month,State,County,Rate,County - named after (any)
458,June,Virginia,Gloucester County,4.1,Gloucester
459,December,Minnesota,Norman County,5.1,Norwegians
460,December,Oregon,Morrow County,6.1,Jackson L. Morrow
461,June,Missouri,New Madrid County,6.6,New Madrid
462,October,Montana,Richland County,3.1,
463,September,Indiana,Jasper County,4.9,William Jasper
464,June,West Virginia,Wyoming County,10.4,plain
465,March,Arkansas,Miller County,5.5,John Miller
466,July,South Carolina,Orangeburg County,12.3,William V
467,March,Colorado,Arapahoe County,4.4,Arapahoe County
468,October,Missouri,Daviess County,3.1,Joseph Hamilton Daveiss
469,August,Texas,Haskell County,3.5,Charles N. Haskell
470,March,Oregon,Wasco County,6.7,Wasco-Wishram people
471,August,South Carolina,Barnwell County,9.1,John Barnwell
472,April,Wisconsin,Brown County,4,Henry Stevenson Brown
473,February,Nebraska,Loup County,3.1,Loup River
474,May,Virginia,Culpeper County,4.5,"Thomas Colepeper, 2nd Baron Colepeper"
475,October,New Mexico,Debaca County,5.1,Ezequiel Cabeza De Baca
476,June,Texas,Kerr County,4,James Kerr
477,December,Virginia,Portsmouth City,5.8,
478,February,Minnesota,Meeker County,5.9,Bradley B. Meeker
479,April,Washington,Yakima County,7.7,Yakama Nation
480,March,Washington,Wahkiakum County,9.6,Wahkiakum
481,December,Kansas,Stevens County,4.2,Isaac Stevens
482,April,Arkansas,Baxter County,5.9,Elisha Baxter
483,August,Wisconsin,Oconto County,4.3,Oconto River
484,May,Kansas,Cheyenne County,3.2,Cheyennes
485,October,New Hampshire,Merrimack County,2.6,Merrimack River
486,August,Minnesota,Nobles County,2.7,William H. Nobles
487,May,Oklahoma,Harper County,3.1,Oscar G. Harper
488,July,West Virginia,Monongalia County,5.4,Monongahela River
489,January,West Virginia,Raleigh County,7.9,Walter Raleigh
490,January,South Dakota,Ziebach County,4.7,Frank M. Ziebach
491,February,Indiana,Marshall County,5,John Marshall
492,April,Mississippi,Simpson County,5.1,
493,August,Texas,Winkler County,6.2,
494,February,Kansas,Cloud County,4.1,William F. Cloud
495,January,Arkansas,Searcy County,7.6,
496,February,Missouri,Sainte Genevieve County,6.4,Genevieve
497,July,Tennessee,Hawkins County,7,Benjamin Hawkins
498,December,Louisiana,Jefferson Parish,4.5,Thomas Jefferson
499,June,Texas,Armstrong County,2.9,John Armstrong
500,May,Illinois,Lake County,4.8,lake
501,June,Mississippi,Lauderdale County,7.4,James Lauderdale
502,December,New York,Hamilton County,8.7,Alexander Hamilton
503,January,Texas,Dawson County,4.5,Andrew Dawson
504,June,Missouri,Linn County,7.3,Lewis F. Linn
505,September,Colorado,Lincoln County,2.7,Abraham Lincoln
506,January,Missouri,Oregon County,6.9,Oregon Territory
507,July,Virginia,Chesterfield County,4.5,
508,November,Minnesota,Todd County,4.1,John Blair Smith Todd
509,June,Connecticut,New London County,5.7,London
510,February,Texas,Jasper County,7.3,William Jasper
511,April,Nebraska,Scotts Bluff County,3.2,Scotts Bluff
512,September,Virginia,Surry County,4.9,Surrey
513,July,Illinois,White County,6.1,Hugh Lawson White
514,March,Virginia,Loudoun County,3.8,"John Campbell, 4th Earl of Loudoun"
515,May,Montana,Petroleum County,3.9,petroleum
516,February,Mississippi,Jefferson Davis County,8.2,Jefferson Davis
517,June,Minnesota,McLeod County,4,
518,May,South Carolina,Cherokee County,7.5,Cherokee
519,November,North Carolina,Buncombe County,4,Edward Buncombe
520,March,Kentucky,Powell County,7.9,Mount Powell
